Breed,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,Cluster
American Hairless Terrier,136,30.48,40.64,5.44310844,7.25747792,14,16,,,,,,7
Chihuahua,33,12.7,20.32,2.72155422,2.72155422,14,16,0.2,0.4,0.6,0.4,0.6,7
Silky Terrier,112,22.86,25.4,4.5359237,4.5359237,13,15,0.6,0.4,0.6,0.6,0.6,7
Porcelaine,,55.88,58.42,24.94758035,28.12272694,12,13,0.2,,0.8,,0.6,8
Segugio Italiano,,48.26,58.42,18.1436948,27.2155422,11,13,0.4,0.6,,1,,8
Teddy Roosevelt Terrier,,20.32,38.1,3.62873896,11.33980925,14,16,0.4,0.6,0.8,1,0.8,8
Belgian Sheepdog,125,55.88,66.04,20.41165665,34.01942775,12,14,0.6,0.6,0.8,0.8,0.4,9
Boxer,11,54.61,63.5,6.80388555,36.2873896,10,12,0.4,0.4,0.8,0.8,1,9
English Setter,94,58.42,68.58,20.41165665,36.2873896,12,12,0.6,0.8,0.8,0.8,0.8,9
Rottweiler,8,55.88,68.58,36.2873896,61.23496995,9,10,0.4,0.6,0.6,0.6,0.4,9
American Bulldog,,50.8,63.5,27.2155422,45.359237,10,12,0.2,0.6,0.8,0.6,0.6,10
Bichon Frise,46,24.13,29.21,5.44310844,8.16466266,14,15,1,0.2,0.6,0.6,1,10
Bulldog,5,35.56,38.1,18.1436948,22.6796185,8,10,0.6,0.8,0.6,0.6,0.8,10
French Bulldog,4,27.94,33.02,12.70058636,12.70058636,10,12,0.2,0.8,0.4,0.6,0.6,10
Havanese,24,21.59,29.21,3.17514659,5.89670081,14,16,0.6,0.4,0.6,0.8,1,10
Black and Tan Coonhound,138,58.42,68.58,29.48350405,49.8951607,10,12,0.4,0.6,0.6,0.4,0.8,11
Bloodhound,49,58.42,68.58,36.2873896,49.8951607,10,12,0.4,0.6,0.6,0.4,0.6,11
Bluetick Coonhound,130,53.34,68.58,20.41165665,36.2873896,11,12,0.4,0.6,0.8,0.6,0.8,11
English Foxhound,188,60.96,60.96,27.2155422,34.01942775,10,13,0.2,0.8,0.8,0.6,0.8,11
Harrier,189,48.26,53.34,20.41165665,27.2155422,12,15,0.4,0.4,1,0.8,0.8,11
Treeing Walker Coonhound,137,50.8,68.58,22.6796185,31.7514659,12,13,0.2,0.6,0.6,0.4,0.8,11
Afghan Hound,113,63.5,68.58,22.6796185,27.2155422,12,15,0.8,0.2,0.8,0.2,0.2,12
Basset Hound,39,38.1,38.1,18.1436948,29.48350405,12,13,0.6,0.4,0.2,0.4,0.8,12
Plott Hound,171,50.8,63.5,18.1436948,27.2155422,12,14,0.2,0.4,0.8,0.4,0.6,12
Rhodesian Ridgeback,41,60.96,68.58,31.7514659,38.55535145,10,10,0.4,0.6,0.6,0.4,0.6,12
Saluki,120,58.42,71.12,18.1436948,29.48350405,10,17,0.2,0.4,0.8,0.4,0.4,12
Poodle (Miniature),7,25.4,38.1,4.5359237,6.80388555,10,18,,,,,,13
Poodle (Standard),7,38.1,38.1,18.1436948,31.7514659,10,18,1,0.2,0.6,1,0.8,13
Poodle (Toy),7,25.4,25.4,1.81436948,2.72155422,10,18,1,0.2,0.6,1,0.8,13
Australian Terrier,140,25.4,27.94,6.80388555,9.0718474,11,15,0.4,0.2,0.8,0.6,0.8,14
Border Terrier,88,30.48,38.1,5.216312255,7.030681735,12,15,0.4,0.4,0.6,0.8,0.8,14
Cairn Terrier,69,24.13,25.4,5.89670081,6.35029318,13,15,0.4,0.4,0.6,0.6,0.8,14
Glen of Imaal Terrier,174,31.75,35.56,14.51495584,18.1436948,10,15,0.6,0.4,0.6,0.4,0.6,14
Norfolk Terrier,126,22.86,25.4,4.98951607,5.44310844,12,16,0.4,0.6,0.6,0.6,0.8,14
Norwich Terrier,108,25.4,25.4,5.44310844,5.44310844,12,15,0.4,0.6,0.8,0.6,0.8,14
Staffordshire Bull Terrier,80,35.56,40.64,10.88621688,17.23651006,12,14,0.4,0.4,0.8,0.2,0.8,14
Norwegian Lundehund,191,30.48,38.1,9.0718474,13.6077711,12,15,0.4,0.6,0.8,0.6,0.4,15
Hokkaido,,45.72,50.8,19.95806428,29.93709642,12,15,0.4,0.6,0.8,,,16
Kai Ken,,39.37,49.53,9.0718474,18.1436948,12,15,0.2,0.6,0.8,0.4,0.4,16
Kishu Ken,,43.18,55.88,13.6077711,27.2155422,11,13,0.2,0.6,0.8,0.4,0.4,16
Shikoku,,43.18,55.88,15.87573295,24.94758035,10,12,0.4,,0.6,,,16
Tosa,,54.61,59.69,45.359237,90.718474,10,12,0.2,0.4,0.4,0.6,0.4,16
Treeing Tennessee Brindle,,40.64,60.96,13.6077711,22.6796185,10,12,0.4,0.4,0.6,,,16
American Eskimo Dog,122,22.86,48.26,2.72155422,15.87573295,13,15,0.4,0.6,0.8,1,1,17
Japanese Spitz,,30.48,38.1,4.5359237,11.33980925,12,14,0.4,0.4,0.6,0.8,0.8,17
